lambani_sentence|number
ಸೆ ಮಾಂದ ಮಾಣಸೇರ ಬಗ್ಗೆ ಕನ್ನೆರ್ ಪೊಲೀಸ್ ಸ್ಟೇಷನೇಮ ರಿಪೋರ್ಟ್  ಕರನು  ಕೇನ ಕೆ.|9856
ದಾಡ್ಡಿ ಹಾಜರಾತಿ ದೇಣು.|9857
ಕೇರ್ ಕನ್ನ ನಿಜಾಮ ಸರಕಾರ ದಿನೆ ಜೋಣ ಪಾಸ್ ವೇತ್ತೋ ಕೋನಿ.|9858
ತು ಮಟ್ಟಿನ ಕನ್ನಾ ಆಯೆಚಿ ?|986
ವೂ ಪಾಸ್ ವೊರ್ ಜೋಡಿ ಲೇನ್ ಜಾಣು.|9860
ಅಗರ ಏಕಾದ್ ಅಧಿಕಾರಿ ಥಾಮೇ ಕತೋ ವು ಪಾಸ್ ದಕಾಳನು.|9861
ಈ ಹೇಟೆರ ನಿಜಾಮ ಸರಕಾರೇರ ಏಕ್ ಪಾಸ್ ಚ.|9864
ವೂನುನ ಪೊಲೀಸ್ ಅನ ಲೋಗ್ ಭೀ ಘಣ ಸತಾಯೆ ಅನ ವೂನೂರ್ ಜೋಡಿ ಠೀಕ ವ್ಯವಹಾರ ಕರತೇತೆ ಕೋನಿ.|9865
ಕತಿಕ ಚೋರಿ, ಡಕಾಯತಿ ನಿತರ ಮರ್ಡರ್ ವಿಕತೋ.|9866
ಸೇಜ ಮಾಣಸೇನ ಬಗರ್ ಸಮಜೆರ ಅನ ವೂನೂರ್ ಅಲಿಬಿ ದಕಾಳೆನ್ ಬಗರ್ ಮೌಕಾ ದೇರ್ ಪಿಟೇ.|9867
ಪೊಲೀಸ್ ದೂಸರ್ ವಡಿ ಜಾಂಚ ಕರ್ರೆತೆ.|9868
ತು ಘರೇನ ಕನ್ನಾ ಜಾಯೆಚಿ ?|987
ವೊ ವೂನುಮ ಜಾಸ್ತ್ ಮಾಣಸ್ ನಿಷ್ಠಾವಂತ ವೆತ್ತೆ ಕೇನ ಕಚ.|9870
ವೊ ಕನ್ನಾಯಿ ಚೋರಿ ಯಾ ಡಾಕಾ ಘಾಲೇ ಕೊಂತಿ.|9871
ಏಕ್ ಏಕ್ ದುಸ್ಕರ್ಮಿನೂರ ಹೊಲಸ್ ಕಾಮೇತಿ ವೂನೂರ್ ಅಸ ನಾಮ ಪಡಮಲೋಚ.|9872
ವೂನೂರ್ ಯೇತಿ ಕಾಂಯಿ ಸಂಬಂಧ ಛೆನಿ ತೋಬಿ.|9874
ದಸೆಕ್ ಡಾವ್  ಮಾಣಸ ಲಾರ್ ವೂನುಮ ಘಣ ಅಪರಾಧ ವೇಮಲೇಚ ಕೇನ ಸ್ವೀಕಾರ್ ಕರಚ.|9875
ಡಾಕಾ ಘಾಲೇರೋ, ಮರ್ಡರ್ ನಿತರ್ ಚೋರಿ ಕರೆರೋ ಯಾ ಘರ ಫೋಡೆರೋ ಕರೇನ ವೊ ಗುಂಪೇಮ  ಜಾತೇತೆ.|9877
ಗುಂಪೇರ ಆಕಾರ ಕಾಮೇರ ಗಾತ್ರ ಅನ ವಿಧಾನ ಕು ರ ಜು  ರಚ.|9878
ಯೇತಿ ಪೊಲೀಸ್ ಅನ ಲೊಕುಮ ಶಕ ಪೈದಾ ವೆತೋತೋ.|9879
ಕಾ ಕತೋ ಏ ಕಾಮ್ ರಾತ ಕರತೆತೆ.|9880
ಗುಂಪೆರ್ ಲೋಗ  ವೊ ಡಾಕಾ ಘಾಲಾ ಕೆರೆ ಜೆ ಜಾಗಾ ಪರ ಕನ್ನಾಯಿಬಿ ಏಕ್ ಸಾತ ಜಾತೇತೆ ಕೋನಿ.|9881
ಪಣ ಹರ್ ಏಕ್ ಮಾಣಸ್ ವೊ ಜಾಗಾ ಪರ್ ಠೀಕ್ ಸಮಯ್ ಪರ್ ದೂಸರ್ ದೂಸರ್ ವಾಟೆನ್ ಜಾತೇತೆ.|9882
ಗುಂಪೇಮ ಏಕ್ ಡಾವ, ಅನುಭವಿ ಅನ ಸಕ್ತ ಮಾಣಸ್ ವೇತ್ತೋ.|9883
ಗುಂಪೇರ ಸದಸ್ಯ ವೇನ ಡಾಕಾ ಘಾಲೇರೋ,ಡಾಕಾ ಅನ ಘರ ಪೋಡೆಮ ಅನುಭವ  ರೇಣು.|9884
