kannada_source|lambani_target|lambani_predicted
ಹುಡುಗನಿಗೆ ಏನಾದರೂ ಬೇಕು .|ಛೋರಾನ ಕಾ೦ಯೀತೊಯೀ ಚಾಯೆ .|ಛೋರಾನ ಕಾಂಯಿ ತೊಯೀ ಚಾವಚ .
ನಾವೆಲ್ಲರೂ ಒಂದಾಗೋಣ .|ಅಪಣಸೆ ಏಕ್ ವೇಮಾ .|ಅಪಣ ಸೆ ಏಕ್ ಜಾಮಾ .
ಆದರೆ ಅವನು ತುಂಬಾ ಸಿಹಿ .|ಪಣ ಉ ಘಣ ಮಿಟೋ ಛ .|ಪಣ ವು ಘಣ್ ಮಿಠಾಯಿ ಚ .
ಅವಳು ನನ್ನ ಚಿಕ್ಕಮ್ಮ .|ಉ ಮಾರ್ ಮಾಶಿ ಛ .|ವು ಮಾರ್ ಯಾಡಿ ಚ .
ಯಶಸ್ಸು ನಿಮ್ಮದೇ .|ಸಫಲತಾ ತಮಾರ್ ಚ .|ಯಶಸ್ ತಾರ್ ಚ .
ನಾನು ಅದನ್ನು ಕಂಡುಹಿಡಿಯಬೇಕು .|ಮ ವೊನ ಧುನ್ದಣು .|ಮನ್ ವು ಕಂಡನು .
ನನಗೆ ತುಂಬಾ ದುಃಖವಾಗಿದೆ .|ಮ ಘಣ ದುಃಖಿ ಚು .|ಮನ್ ಘಣ ದುಃಖ್ ವೇಗಿಚ್ .
ನಾನು ಇದನ್ನು ನೋಡಿದ್ದೇನೆ .|ಮ ಏನ್ ದಿಟಿಚು .|ಮ ಏನ್ ದೇಕಮಲೋಚು .
ನಾನು ಹೋಗಲಿದ್ದೇನೆ .|ಮ ಜಾಯೆವಾಳೋಚು .|ಮ ಜಾರೊಚು .
ಇದು ತುಂಬಾ ದೊಡ್ಡದು .|ಈ ಘಣ ಮೊಟಚ .|ಈ ಘಣ ಮೋಟೋ ಛ .
ಅದನ್ನು ಸರ್ಕಾರ ನಿರ್ಧರಿಸಬೇಕು .|ಓನ್ ಸರ್ಕಾರ್ ನಿರ್ಧಾರ್ ಕರಣು .|ಓನ್ ಸರ್ಕಾರ್ ನಿರ್ಧಾರ್ ಕರಣು .
ಅವರ ಆರೋಗ್ಯ ಸರಿಯಿಲ್ಲ .|ವನೂರ್ ಆರೋಗ್ಯ ಠೀಕ್ ಛೆನೀ .|ವೊರ್ ಆರೋಗ್ಯ ಠೀಕ್ ಛೆನಿ .
ನೀವು ಅಲ್ಲಿಗೆ ಹೋಗಲು ಸಾಧ್ಯವಿಲ್ಲ .|ತಮೆನ್ ವತ್ತ ಜಾಯೇನ್ ವೆನಿ .|ತಮ್ ವತ್ತ ಜಾಯೆನ್ ಸಾಧ್ಯ ಛೆನೀ .
ನಮಗೆ ಅನೇಕ ಅವಕಾಶಗಳಿವೆ .|ಹಮೆನ್ ಕತ್ರಾಕೋ ಅವಕಾಶ ಚ .|ಹಮೆನ್ ಘಣ ಅವಕಾಶ ಛ .
ಇದು ಯಾವಾಗಲೂ ಕೆಲಸ ಮಾಡುತ್ತದೆ .|ಈ ಕನ್ನಾಯಿಭಿ ಕಾಮ್ ಕರಚ್ .|ಈ ಕನ್ನಾಯಿಭಿ ಕಾಮ್ ಕರಚ .
ಇದನ್ನು ಎಲ್ಲರೂ ಪ್ರತಿಭಟಿಸಬೇಕು .|ಏನ್ ಸೆ ಪ್ರತಿಭಟನೆ ಕರಣು .|ಏನ್ ಸೆ ಪ್ರತಿಭಟನೆ ಕರಣು .
ಮೂರನೇ ವರ್ಗವಿಲ್ಲ .|ತಿನೇ ವರ್ಗ ಛೆನೀ .|ತೀನ್ ನೆ ವರ್ಗ ಛೆನೀ .
ಇನ್ನು ಕೆಲವರು ಮುಂದೆ ಹೋಗುತ್ತಾರೆ .|ಅಜಿ ದಸೆಕ್ ಆಂಗ್ ಜಾವಚ .|ಅಬ್ ದಸೆಕ್ ಆಂಗ್ ಜಾವಚ .
ನನಗೆ ನಿಖರವಾಗಿ ಗೊತ್ತಿಲ್ಲ .|ಮನ್ ಠೀಕ್ ಮಾಲಮ್ ಛೆನಿ .|ಮನ್ ಖರೆ ಮಾಲಮ್ ಛೆನಿ .
ನಾನು ಅದನ್ನು ಸಂತೋಷದಿಂದ ಮಾಡುತ್ತೇನೆ .|ಮ ಓನ್ ಖುಶೀತಿ ಕರುಚು .|ಮ ಖುಶೀತಿ ಓನ್ ಕರುಚು .
