lambani_source|kannada_target|kannada_predicted
ಉ ಮಾರ್ ಮಾಶಿ ಛ .|ಅವಳು ನನ್ನ ಚಿಕ್ಕಮ್ಮ .|ಅವಳು ನನ್ನ ಚಿಕ್ಕಪ್ಪ .
ಅವಕಾಶ ಕು ಆಯೀಚ .|ಅವಕಾಶ ಹೇಗೆ ಬಂತು ?|ಅವಕಾಶಗಳು ಹೇಗೆ ಬಂತು ?
ತು ಏನ್ ಚೆಕ್ ಕರ್ .|ನೀವು ಪರಿಶೀಲಿಸಿ .|ನೀವು ಅದನ್ನು ಪರೀಕ್ಷಿಸು .
ಜೇರ್ಸಾರು ಈ ಲಬಾಡ್ ಛ .|ಹಾಗಾಗಿ ಇದು ಸುಳ್ಳು .|ಆದ್ದರಿಂದ ಇದು ಸುಳ್ಳು .
ಸಹಿಸಾಯೆನ್ ಸಾಧ್ಯ ಛೆಯೀ .|ಸಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಸಹಿಂತ್ರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ .
ಕೋಇ ವಾತೇ ಕರ್ರೆ ಕೊಂತಿ .|ಯಾರೂ ಮಾತನಾಡುತ್ತಿಲ್ಲ .|ಯಾರೂ ಮಾತನಾಡುತ್ತಿಲ್ಲ .
ಕಾನೂನ್ ಬದ್ಲಿ ಹುಯಿಕೊಂತಿ .|ಕಾನೂನು ಬದಲಾಗಿಲ್ಲ .|ಕಾನೂನು ಬದಲಾಗಿಲ್ಲ .
ಮ ಜಾಯೆವಾಳೋಚು .|ನಾನು ಹೋಗಲಿದ್ದೇನೆ .|ನಾನು ಹೋಗಲಿದ್ದೇನೆ .
ಮ ಏನ್ ದಿಟಿಚು .|ನಾನು ಇದನ್ನು ನೋಡಿದ್ದೇನೆ .|ನಾನು ಇದನ್ನು ನೋಡಿದೆ .
ಮ ಘಣ ದುಃಖಿ ಚು .|ನನಗೆ ತುಂಬಾ ದುಃಖವಾಗಿದೆ .|ನಾನು ತುಂಬಾ ದುಃಖಿತನಾಗಿದ್ದೇನೆ .
ಮ ವೊನ ಧುನ್ದಣು .|ನಾನು ಅದನ್ನು ಕಂಡುಹಿಡಿಯಬೇಕು .|ನಾನು ಅವನನ್ನು ಹುಡುಕಬೇಕು .
