english_source|lambani_target|lambani_predicted|kannada_sentence
i cried all night|ಸಾರಿ ರಾತ್ ರೋರಿತಿ.|ಮ ಸಾರಿ ರಾತ್ ರೋತೋ|ರಾತ್ರಿಯಿಡೀ ಅಳುತ್ತಿದ್ದೆ
we cook everyday|ಹಮ್ ದಾಡ್ಡಿ ಖಾಣೊ ಕರಾಚಾ.|ಹಮ್ ದಾಡ್ಡಿ ಖಾಣೊ ಕರಾಚಾ|ನಾವು ಪ್ರತಿದಿನ ಅಡುಗೆ ಮಾಡುತ್ತೇವೆ
books are meant for reading|ಪುಸ್ತಕ ನೊ ವೊದೇನ ರಚ.|ಪುಸ್ತಕನೋ ವೋದೇರ ವಾಸ ಚ.|ಪುಸ್ತಕಗಳು ಓದಲು ಉದ್ದೇಶಿಸಲಾಗಿದೆ
do not wait for him|ವೋರ ವಾಸ ಹುಬರೋ ಮತ.|ವೋರ ವಾಸ ಹುಬರೋ ಮತ|ಅವನಿಗಾಗಿ ಕಾಯಬೇಡ
he is so selfish|ವು ಸ್ವಾರ್ಥಿ ಚ.|ವು ಘಣ್ ಸ್ವತಂತ್ರ ಚ.|ಅವನು ತುಂಬಾ ಸ್ವಾರ್ಥಿ
the man looked up .|ಮಾಣಸ್ ಉಪರ್ ದಿಟೊ|ಉ ಮಾಟಿ ಸಾವೂ ದೆಕ್ ರೋಚ.|ಆ ವ್ಯಕ್ತಿ ತಲೆ ಎತ್ತಿ ನೋಡಿದನು .
do you drink milk ?|ತು ದೂದ ಪಿಯೆಚಿ ಕ?|ತು ದೂದ ಪಿಯೆಚಿ ಕ?|ನೀವು ಹಾಲು ಕುಡಿಯುತ್ತೀರಾ ?
samu ate the apple|ಸಮು ಸೇಬು ಹಣ್ಣ ಖಾದೋ|ಸಮು ಸೇಬು ಹಣ್ಣ ಖಾದೊ.|ಸಮು ಸೇಬು ತಿಂದ
will this be enough ?|ಈ ಧೇರ್ ವಚ ಕ?|ಈ ಠೀಕ್ ಚ ಕ?|ಇದು ಸಾಕಾಗುತ್ತದೆಯೇ ?
do not push me|ಮನ ಧಖಲ್ ಮತ|ಮನ ಸತಾವೋ ಮತ್.|ನನ್ನನ್ನು ತಳ್ಳಬೇಡಿ
drive with slow speed|ಸಾವಕಾಶ್ ಗಾಡಿ ಮಾರ.|ಸಾವಕಾಶ್ ಕರ್|ನಿಧಾನ ವೇಗದಲ್ಲಿ ಚಾಲನೆ ಮಾಡಿ
she came to help him|ವು ವೊನ ಸಹಾಯ ಕರೇನ ಆಯಿ|ಉ ಓನ್ ಮದತ್ ಕರೆ ಸಾರು ಆಯಿ.|ಅವಳು ಅವನಿಗೆ ಸಹಾಯ ಮಾಡಲು ಬಂದಳು
you are my type .|ತು ಮಾರ್ ಸರಿಕೊ ಚಿ.|ತು ಮಾರ್ ಸರಿಕ್ ಚಿ|ನೀನು ನನ್ನ ಥರ  .
you did right thing .|ತು ಕಿದೋ ಜೋಣ ಠೀಕ ಚ|ತು ಠೀಕ್ ಕರ್ಲಿದೋಚಿ|ನೀನು ಮಾಡಿದ್ದು ಸರಿ .
ram has not called me|ರಾಮ ಮನ ಫೋನ್ ಕಿದೋ ಕೊಂತಿ|ರಾಮ್ ಮನ್ ಬಲಾಯೆಕೊಂತಿ.|ರಾಮ್ ನನಗೆ ಫೋನ್ ಮಾಡಿಲ್ಲ
they look really similar .|ವೊ ಏಕಜ ಥರಾ ದಿಕಾವಚ|ವೊ ಖರಿ ನಾಯಿ ದಿಕಾವಚ.|ಅವರು ನಿಜವಾಗಿಯೂ ಹೋಲುತ್ತಾರೆ .
it is already dark .|ಅಂದರೋ ವೆಜ ಗೋಚ.|ಅಬ್ಬ ಗ್ಯಾರಾ ವೇಗಿಚ.|ಆಗಲೇ ಕತ್ತಲಾಗಿದೆ .
